GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mon-projet,com.library.model,Book,22,15,0,0,5,6,5,1,5,1
mon-projet,com.library.model,Student,12,9,0,0,3,4,3,1,3,1
mon-projet,com.library.model,Borrow,31,0,0,0,9,0,5,0,5,0
mon-projet,com.library.dao,StudentDAO,16,17,2,0,1,5,3,3,2,3
mon-projet,com.library.dao,BorrowDAO,6,11,0,0,2,3,1,2,1,2
mon-projet,com.library.dao,BookDAO,16,17,2,0,1,5,3,3,2,3
mon-projet,com.library,Main,133,0,8,0,40,0,8,0,2,0
mon-projet,com.library.util,DbConnection,18,0,0,0,5,0,2,0,2,0
mon-projet,com.library.service,BorrowService,0,18,0,0,0,6,0,2,0,2
mon-projet,com.library.service,BookService,8,15,0,0,1,6,1,3,1,3
mon-projet,com.library.service,StudentService,8,15,0,0,1,6,1,3,1,3
